2023-08-31T15:19:26.628_149+08:00 [8683] [INFO] [ELECTION TIMEOUT] current role: candidate, log last term 1, state term 1, target p 1, my p 1, hb dead, pre-vote NOT done	[handle_timeout.cxx:304, handle_election_timeout()]
2023-08-31T15:19:26.628_154+08:00 [8683] [INFO] reset RPC client for peer 2	[handle_vote.cxx:79, request_prevote()]
2023-08-31T15:19:26.628_182+08:00 [8683] [WARN] total 1 nodes (including this node) responded for pre-vote (term 1, live 0, dead 1), at least 2 nodes should respond. failure count 2	[handle_vote.cxx:98, request_prevote()]
2023-08-31T15:19:26.628_186+08:00 [8683] [INFO] [PRE-VOTE INIT] my id 3, my role candidate, term 1, log idx 3, log term 1, priority (target 1 / mine 1)	[handle_vote.cxx:139, request_prevote()]
2023-08-31T15:19:26.628_503+08:00 [8681] [WARN] peer (2) response error: failed to connect to peer 2, localhost:10002, error 111, Connection refused	[raft_server.cxx:789, handle_peer_resp()]
2023-08-31T15:19:26.830_442+08:00 [8681] [WARN] Election timeout, initiate leader election	[handle_timeout.cxx:286, handle_election_timeout()]
2023-08-31T15:19:26.830_456+08:00 [8681] [INFO] [PRIORITY] decay, target 1 -> 1, mine 1	[handle_priority.cxx:214, decay_target_priority()]
2023-08-31T15:19:26.830_469+08:00 [8681] [INFO] [ELECTION TIMEOUT] current role: candidate, log last term 1, state term 1, target p 1, my p 1, hb dead, pre-vote NOT done	[handle_timeout.cxx:304, handle_election_timeout()]
2023-08-31T15:19:26.830_473+08:00 [8681] [INFO] reset RPC client for peer 2	[handle_vote.cxx:79, request_prevote()]
2023-08-31T15:19:26.830_500+08:00 [8681] [WARN] total 1 nodes (including this node) responded for pre-vote (term 1, live 0, dead 1), at least 2 nodes should respond. failure count 3	[handle_vote.cxx:98, request_prevote()]
2023-08-31T15:19:26.830_504+08:00 [8681] [INFO] [PRE-VOTE INIT] my id 3, my role candidate, term 1, log idx 3, log term 1, priority (target 1 / mine 1)	[handle_vote.cxx:139, request_prevote()]
2023-08-31T15:19:26.830_770+08:00 [8682] [WARN] peer (2) response error: failed to connect to peer 2, localhost:10002, error 111, Connection refused	[raft_server.cxx:789, handle_peer_resp()]
2023-08-31T15:19:27.229_731+08:00 [8683] [WARN] Election timeout, initiate leader election	[handle_timeout.cxx:286, handle_election_timeout()]
2023-08-31T15:19:27.229_745+08:00 [8683] [INFO] [PRIORITY] decay, target 1 -> 1, mine 1	[handle_priority.cxx:214, decay_target_priority()]
